dimer_id,jun-cc-pVDZ,aug-cc-pVDZ,jun-cc-pVTZ,aug-cc-pVTZ,jun-cc-pVQZ,aug-cc-pVQZ,def2-SVPD,def2-TZVPD,def2-TZVPPD,def2-QZVPD
01_2_pyridoxine_2_aminopyridine,-17.592378611349165,-18.994313507389585,-19.52105457220511,-19.85412993602478,-19.993294906768053,-20.08812559167934,-18.834422631516762,-19.128868630777806,-19.54742958982612,-19.89601019573852
02_adenine_thymine_stack,-12.086767534256284,-15.338899828135375,-15.75225888856371,-16.258013253062064,-16.397825433465226,,-14.520131202065873,-15.644350263398328,-15.7631760279302,
03_adenine_thymine_watsoncrick,-17.370614250724397,-18.835172778943914,,,,,,,,
04_ammonia_dimer,-2.815159468157222,-3.0866915530127836,-3.1959197361706044,-3.336742085171525,,,-2.9683876397253184,-3.0913154787272203,-3.216852160106236,
05_benzene_methane,-1.0707109732507265,-1.7211839197296326,-1.7663543117056184,-1.9126972434502767,,,-1.5912307842862765,-1.7273660442680911,-1.8351778230373135,
06_benzene_ammonia,-2.023543431633084,-2.626667719574347,-2.6870985602473714,-2.837508191557026,,,-2.53806082057681,-2.634137029263938,-2.7528271971281857,
07_benzene_dimer_parallel,-2.833907932285401,-4.417009584719328,-4.584288563214955,-4.880173391601197,,,,-4.585749972252859,-4.658394817173328,
08_benzene_dimer_tshape,,,-3.6835527421487813,-3.870967696246821,,,-3.305993287813895,-3.626841263675639,-3.75100595027079,
09_benzene_hcn,-4.94213500790553,-5.753608685760827,-5.875249988466873,-6.051835160699873,,,-5.589599268077866,-5.823358165282726,-5.964904194187947,
10_benzene_water,-3.0693484215905142,-3.665718187019718,-3.7170571157032923,-3.8753377649013663,,,-3.6376029613526266,-3.669358413985306,-3.7883940862996286,
11_ethene_dimer,-0.7662555079907687,-1.4394071762559344,-1.4584540815499882,-1.6578101964825747,,,-1.2668741491069733,-1.3847689668115712,-1.5154731508844184,
12_ethene_ethyne,-1.4028492074440517,-1.776509501953915,-1.8227068509356552,-1.8897245502783766,,,-1.5633599506010891,-1.78349842623471,-1.8338885704677144,
13_formamide_dimer,-16.6239154024025,-18.49580696442105,-18.92842466245995,-19.27649365987908,,,-18.355247420185233,-18.563039685777177,-18.988997257223257,
14_formic_acid_dimer,-20.36585311177475,-22.617424958685817,-23.528553348904783,-23.919311181208265,,,-22.68155405274844,-23.005249088294676,-23.55581061229743,
15_indole_benzene_stack,-5.218245720279424,-7.398212138309892,-7.6682858831043355,-8.040444998459769,,,-6.667018910608063,-7.643276156777005,-7.7303630763321465,
16_indole_benzene_tshape,-5.467836477474355,-6.706125270709786,-6.865457733897545,-7.092800678279899,,,-6.352068652173495,-6.781427439873166,-6.936757976407746,
17_methane_dimer,-0.16896939484835816,-0.4634967278768753,-0.4503938427958843,-0.5307349431827405,,,-0.401765924296274,-0.4301777541998332,-0.4751968229571345,
18_phenol_dimer,-7.1380703238352465,-8.15158893610438,-8.332901960102884,-8.548951834973739,,,-8.039801391154688,-8.140388513398658,-8.344514045243681,
19_pyrazine_dimer,-4.40642218377699,-6.114380591323161,-6.314070820147628,-6.612575766548738,,,-5.675566591019041,-6.289797579182467,-6.351135286079229,
20_uracil_dimer_hbonded,-22.41876566738703,-23.96655642342484,-24.547240919460624,-24.887287236546047,,,-23.956564143455903,-24.13269694418769,-24.570626914386963,
21_uracil_dimer_stack,-9.136569702883275,-11.718417165415723,-11.98732224283645,-12.367333928176436,,,-11.199561828060116,-11.910426304110423,-11.984986625699214,
22_water_dimer,-5.084037766660108,-5.386597524360299,-5.513445687656065,-5.6291145145806265,,,-5.402955090308429,-5.4021115833418225,-5.531002721171806,
