idx,dimer_id,ref_au,interaction_type
01,2_pyridoxine_2_aminopyridine,-0.02662907,HB
02,adenine_thymine_stack,-0.01948974,mix
03,adenine_thymine_watsoncrick,-0.02608725,HB
04,ammonia_dimer,-0.00505172,HB
05,benzene_methane,-0.0023904,disp
06,benzene_ammonia,-0.00374496,disp
07,benzene_dimer_parallel,-0.00435053,disp
08,benzene_dimer_tshape,-0.00436647,disp
09,benzene_hcn,-0.00710746,disp
10,benzene_water,-0.00522701,disp
11,ethene_dimer,-0.00240634,disp
12,ethene_ethyne,-0.00243821,disp
13,formamide_dimer,-0.02543387,HB
14,formic_acid_dimer,-0.02965691,HB
15,indole_benzene_stack,-0.0083186,mix
16,indole_benzene_tshape,-0.00913133,mix
17,methane_dimer,-0.00084461,disp
18,phenol_dimer,-0.01123489,HB
19,pyrazine_dimer,-0.00704372,mix
20,uracil_dimer_hbonded,-0.03262101,HB
21,uracil_dimer_stack,-0.01574478,mix
22,water_dimer,-0.00799988,HB
