idx,dimer_id,xyz_A,xyz_B,ref_kcal,interaction_type
01,2_pyridoxine_2_aminopyridine,01_2_pyridoxine_2_aminopyridine_a.xyz,01_2_pyridoxine_2_aminopyridine_b.xyz,-16.71,HB
02,adenine_thymine_stack,02_adenine_thymine_stack_a.xyz,02_adenine_thymine_stack_b.xyz,-12.23,mix
03,adenine_thymine_watsoncrick,03_adenine_thymine_watsoncrick_a.xyz,03_adenine_thymine_watsoncrick_b.xyz,-16.37,HB
04,ammonia_dimer,04_ammonia_dimer_a.xyz,04_ammonia_dimer_b.xyz,-3.17,HB
05,benzene_methane,05_benzene_methane_a.xyz,05_benzene_methane_b.xyz,-1.50,disp
06,benzene_ammonia,06_benzene_ammonia_a.xyz,06_benzene_ammonia_b.xyz,-2.35,disp
07,benzene_dimer_parallel,07_benzene_dimer_parallel_a.xyz,07_benzene_dimer_parallel_b.xyz,-2.73,disp
08,benzene_dimer_tshape,08_benzene_dimer_tshape_a.xyz,08_benzene_dimer_tshape_b.xyz,-2.74,disp
09,benzene_hcn,09_benzene_hcn_a.xyz,09_benzene_hcn_b.xyz,-4.46,disp
10,benzene_water,10_benzene_water_a.xyz,10_benzene_water_b.xyz,-3.28,disp
11,ethene_dimer,11_ethene_dimer_a.xyz,11_ethene_dimer_b.xyz,-1.51,disp
12,ethene_ethyne,12_ethene_ethyne_a.xyz,12_ethene_ethyne_b.xyz,-1.53,disp
13,formamide_dimer,13_formamide_dimer_a.xyz,13_formamide_dimer_b.xyz,-15.96,HB
14,formic_acid_dimer,14_formic_acid_dimer_a.xyz,14_formic_acid_dimer_b.xyz,-18.61,HB
15,indole_benzene_stack,15_indole_benzene_stack_a.xyz,15_indole_benzene_stack_b.xyz,-5.22,mix
16,indole_benzene_tshape,16_indole_benzene_tshape_a.xyz,16_indole_benzene_tshape_b.xyz,-5.73,mix
17,methane_dimer,17_methane_dimer_a.xyz,17_methane_dimer_b.xyz,-0.53,disp
18,phenol_dimer,18_phenol_dimer_a.xyz,18_phenol_dimer_b.xyz,-7.05,HB
19,pyrazine_dimer,19_pyrazine_dimer_a.xyz,19_pyrazine_dimer_b.xyz,-4.42,mix
20,uracil_dimer_hbonded,20_uracil_dimer_hbonded_a.xyz,20_uracil_dimer_hbonded_b.xyz,-20.47,HB
21,uracil_dimer_stack,21_uracil_dimer_stack_a.xyz,21_uracil_dimer_stack_b.xyz,-9.88,mix
22,water_dimer,22_water_dimer_a.xyz,22_water_dimer_b.xyz,-5.02,HB
