dimer_id,xyz_file,ref_kcal,interaction_type
2_pyridoxine_2_aminopyridine,87_2pyridoxine2aminopyridinecomplex.xyz,-16.71,HB
adenine_thymine_stack,95_Adeninethyminecomplexstack.xyz,-12.23,mix
adenine_thymine_watsoncrick,88_AdeninethymineWatsonCrickcomplex.xyz,-16.37,HB
ammonia_dimer,81_Ammoniadimer.xyz,-3.17,HB
benzene_methane,83_BenzeneMethanecomplex.xyz,-1.50,disp
benzene_ammonia,98_Benzeneammoniacomplex.xyz,-2.35,disp
benzene_dimer_parallel,91_Benzenedimerparalleldisplaced.xyz,-2.73,disp
benzene_dimer_tshape,100_BenzenedimerTshaped.xyz,-2.74,disp
benzene_hcn,99_BenzeneHCNcomplex.xyz,-4.46,disp
benzene_water,97_Benzenewatercomplex.xyz,-3.28,disp
ethene_dimer,90_Ethenedimer.xyz,-1.51,disp
ethene_ethyne,96_Etheneethynecomplex.xyz,-1.53,disp
formamide_dimer,85_Formamidedimer.xyz,-15.96,HB
formic_acid_dimer,84_Formicaciddimer.xyz,-18.61,HB
indole_benzene_stack,94_Indolebenzenecomplexstack.xyz,-5.22,mix
indole_benzene_tshape,101_IndolebenzeneTshapecomplex.xyz,-5.73,mix
methane_dimer,89_Methanedimer.xyz,-0.53,disp
phenol_dimer,102_Phenoldimer.xyz,-7.05,HB
pyrazine_dimer,92_Pyrazinedimer.xyz,-4.42,mix
uracil_dimer_hbonded,86_Uracildimerhbonded.xyz,-20.47,HB
uracil_dimer_stack,93_Uracildimerstack.xyz,-9.88,mix
water_dimer,82_Waterdimer.xyz,-5.02,HB
